variant,model,metric,estimate,ci_low,ci_high,valid_replicates,attempted_replicates
gap_60,source_trained__corrected_primary__harmonized_last_values,mean_predicted_risk,0.3791210627290734,0.3729480942558891,0.38481864903129787,1000,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,auroc,0.5243657445487819,0.4905196747221046,0.544664031577827,1000,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,auprc,0.2829929644443588,0.21896914707191212,0.33260009873362395,1000,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,brier,0.20962945549551487,0.19477953564621556,0.22073627212582209,1000,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,calibration_intercept,-0.9559576400721891,-1.3195660409035619,-0.7449221602153484,1000,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,calibration_slope,0.12148503794470751,-0.0674229731507436,0.2674822460896592,1000,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,mean_predicted_risk,0.3568618490517614,0.34057445427712046,0.3682161949730798,1000,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,auroc,0.49302984066023114,0.4494039142416508,0.5180271588724241,1000,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,auprc,0.2530778288752046,0.19160314702266565,0.30345666447508457,1000,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,brier,0.21702635740086473,0.20828422021279583,0.2247251131932052,1000,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,calibration_intercept,-1.0370949748518568,-1.3929531452909756,-0.8147742199218179,1000,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,calibration_slope,-0.0036932293011819133,-0.21878995350739244,0.13901340148716448,1000,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,mean_predicted_risk,0.38259579229525986,0.37628597307291944,0.38817570575534077,1000,1000
